충전소명,충전소위치상세,설치시도명,휴점일,이용가능시작시각,이용가능종료시각,완속충전가능여부,급속충전가능여부,급속충전타입구분,완속충전기대수,급속충전기대수,주차료부과여부,소재지도로명주소,소재지지번주소,관리업체명,관리업체전화번호,위도,경도,데이터기준일자
이스트팰리스3단지-1311동,이스트팰리스3단지-1311동,경기도,-,0:00,24:00:00,Y,N,AC완속,3,0,N,경기도 용인시 수지구 동천로135번길 21,경기도 용인시 수지구 동천동 932번지 한빛마을래미안이스트팰리스3단지,파워큐브,1833-8017,37.33465432,127.0887218,2022-10-12
이스트팰리스3단지-1312동,이스트팰리스3단지-1312동,경기도,-,0:00,24:00:00,Y,N,AC완속,3,0,N,경기도 용인시 수지구 동천로135번길 21,경기도 용인시 수지구 동천동 932번지 한빛마을래미안이스트팰리스3단지,파워큐브,1833-8017,37.33465432,127.0887218,2022-10-12
이편한세상용인한숲시티2단지-2,이편한세상용인한숲시티2단지-2,경기도,-,0:00,24:00:00,Y,N,AC완속,3,0,N,경기도 용인시 처인구 남사면 한숲로 137,경기도 용인시 처인구 남사읍 완장리 945번지 e편한세상용인한숲시티,파워큐브,1833-8017,37.16109511,127.1744723,2022-10-12
이편한세상용인한숲시티3단지,이편한세상용인한숲시티3단지,경기도,-,0:00,24:00:00,Y,N,AC완속,9,0,N,경기도 용인시 처인구 남사면 한숲로 123,경기도 용인시 처인구 남사읍 완장리 949번지 e편한세상용인한숲시티,파워큐브,1833-8017,37.15939771,127.1734772,2022-10-12
인정프린스4차,인정프린스4차,경기도,-,0:00,24:00:00,Y,N,AC완속,3,0,N,경기도 용인시 기흥구 중부대로 820,경기도 용인시 기흥구 상하동 137번지 인정프린스아파트,파워큐브,1833-8017,37.25604809,127.1427709,2022-10-12
자연앤4단지/자연앤입주자대표회의,자연앤4단지/자연앤입주자대표회의,경기도,-,0:00,24:00:00,Y,N,AC완속,9,0,N,경기도 용인시 기흥구 강남동로 43(강남마을 자연앤아파트),경기도 용인시 기흥구 구갈동 600번지 강남마을 자연앤아파트,파워큐브,1833-8017,37.27030853,127.1311201,2022-10-12
자연앤6단지/자연앤입주자대표회의-2,자연앤6단지/자연앤입주자대표회의-2,경기도,-,0:00,24:00:00,Y,N,AC완속,4,0,N,경기도 용인시 기흥구 강남동로 42(603 강남마을6단지자연&아이원아파트),경기도 용인시 기흥구 구갈동 603번지 (603 강남마을6단지자연&아이원아파트),파워큐브,1833-8017,37.26894361,127.1298973,2022-10-12
용인시 연원마을현대아파트,용인시 연원마을현대아파트,경기도,-,0:00,24:00:00,Y,N,AC완속,4,0,N,경기도 용인시 기흥구 연원로 60105동 지하1층,경기도 용인시 기흥구 마북동 550-4번지 연원마을현대아이파크 105동 지하1층,차지비,031-288-3227,37.30222172,127.1125718,2022-10-12
용인시 용인세브란스병원,용인시 용인세브란스병원,경기도,-,0:00,24:00:00,Y,Y,DC차데모+AC3상+DC콤보,5,2,N,경기도 용인시 기흥구 동백죽전대로 363,"경기도 용인시 기흥구 중동 724-7번지 지상주차장, 지하3층주차장 입구오른쪽",차지비,031-288-3227,37.27077541,127.1482845,2022-10-12
경기용인_수지2차삼성1,경기용인_수지2차삼성1,경기도,-,0:00,24:00:00,Y,N,AC완속,3,0,N,경기도 용인시 수지구 수풍로 38(수지2차 삼성래미안),경기도 용인시 수지구 풍덕천동 692-1번지 수지2차삼성래미안,에버온,1661-7766,37.32707336,127.0912351,2022-10-12
경기용인_신흥덕롯데캐슬레이시티1,경기용인_신흥덕롯데캐슬레이시티1,경기도,-,0:00,24:00:00,Y,N,AC완속,3,0,N,경기도 용인시 기흥구 신정로 25,경기도 용인시 기흥구 신갈동 736번지 지하3층 108번기둥(736 신흥덕롯데캐슬레이시티 지하3층 108번기둥),에버온,1661-7766,37.27118387,127.100854,2022-10-12
경기용인_신흥덕롯데캐슬레이시티2,경기용인_신흥덕롯데캐슬레이시티2,경기도,-,0:00,24:00:00,Y,N,AC완속,2,0,N,경기도 용인시 기흥구 신정로 25,경기도 용인시 기흥구 신갈동 736번지 지하3층 173번 기둥(736 신흥덕롯데캐슬레이시티 지하3층 173번 기둥),에버온,1661-7766,37.27118387,127.100854,2022-10-12
